run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,precision,recall,ndcg,precision_m,recall_m,ndcg_m,precision_f,recall_f,ndcg_f,precision_y,recall_y,ndcg_y,precision_o,recall_o,ndcg_o,precision_gender_ratio,recall_gender_ratio,ndcg_gender_ratio,precision_age_ratio,recall_age_ratio,ndcg_age_ratio,mannwhitney_u,p_value
rk_9f803aab61d8140b7b41,ml-100k,mf,cfair_favorite_push_random,gender,10,102,,0.5,335,m,f,0.071523178807947,0.1087906023336486,0.0939817944238181,0.0741935483870967,0.1098840611513422,0.0957893522952184,0.0647058823529411,0.1059990662931839,0.0893672055050668,,,,,,,1.146627565982405,1.0366512177325486,1.0718624550679,,,,,
rk_b6b2c46b919536f94830,ml-100k,mf,cfair_favorite_push_random,gender,10,102,,0.75,502,m,f,0.0785871964679911,0.1172408808998213,0.1069163687812184,0.081874039938556,0.1173335283934362,0.1078457929263205,0.0701960784313725,0.1170043572984749,0.1045436036107811,,,,,,,1.1663620214710502,1.0028133233886458,1.0315867179003464,,,,,
rk_023612e7e36d79965b69,ml-100k,mf,cfair_favorite_push_random,gender,10,102,,1.0,670,m,f,0.0142384105960264,0.0237460142261466,0.0190313634310367,0.014132104454685,0.0236199497720235,0.0188352186111756,0.0145098039215686,0.024067849361967,0.0195321096182117,,,,,,,0.9739693610661352,0.9813901282492112,0.9643207507710078,,,,,
rk_e239336df66bea66ce90,ml-100k,mf,cfair_favorite_push_random,gender,10,102,,2.0,1340,m,f,0.003532008830022,0.0099583026735344,0.0061727607011167,0.0021505376344086,0.0051416623997269,0.0034617919762143,0.0070588235294117,0.0222549019607843,0.0130937043870441,,,,,,,0.3046594982078853,0.2310350505604165,0.2643859884021587,,,,,
rk_ec0692b16f52403cb154,ml-100k,mf,cfair_favorite_push_random,gender,10,102,,3.0,2010,m,f,0.0024282560706401,0.0034890851116016,0.0031429713554611,0.0026113671274961,0.0035500938726745,0.0028895392673996,0.0019607843137254,0.0033333333333333,0.0037899685685122,,,,,,,1.3317972350230418,1.0650281618023554,0.7624177391354657,,,,,
rk_88d1b059aca45032a714,ml-100k,nmf,cfair_favorite_push_random,gender,10,102,,0.1,27,f,m,0.1179911699779249,0.1797242370090052,0.1635272882667239,0.1247311827956989,0.1836423816838563,0.1696003712768829,0.1007843137254902,0.1697214441332088,0.1480230645819649,,,,,,,0.8080121703853955,0.9241953985621216,0.8727755928099253,,,,,
rk_21b33bbf2b31ac2ee308,ml-100k,nmf,cfair_favorite_push_random,gender,10,102,,0.25,68,f,m,0.1204194260485651,0.1829487718560566,0.1644832135931931,0.1247311827956989,0.1825597981127935,0.1686648901947763,0.1094117647058823,0.1839417989417989,0.1538076392103279,,,,,,,0.877180527383367,1.007570126847706,0.9119126039373632,,,,,
rk_892ddd886743c83db580,ml-100k,nmf,cfair_favorite_push_random,gender,10,102,,0.5,136,f,m,0.1199779249448123,0.1844191282105189,0.1638401347876222,0.1241167434715822,0.1865737692926632,0.1687527580290671,0.1094117647058823,0.1789184562713974,0.151298496630051,,,,,,,0.8815230052417007,0.958968974844167,0.8965690303206203,,,,,
rk_c73a156925432fa0fbc6,ml-100k,nmf,cfair_favorite_push_random,gender,10,102,,0.75,205,f,m,0.1184326710816777,0.1808091558919373,0.1593721635458234,0.1225806451612903,0.1815924219150025,0.1639545501998545,0.1078431372549019,0.1788095238095238,0.1476735999702378,,,,,,,0.8797729618163054,0.9846750317214156,0.9006983934891052,,,,,
rk_b789c4eb6cf3308a0560,ml-100k,nmf,cfair_favorite_push_random,gender,10,102,,1.0,273,f,m,0.1160044150110375,0.1774711797890605,0.1578628086083451,0.1211981566820276,0.1817472508716748,0.1640627014961889,0.1027450980392157,0.1665546218487395,0.1420348467652616,,,,,,,0.8477447252665324,0.916407929418078,0.8657351455873776,,,,,
rk_537665af6c1088f2687b,ml-100k,nmf,cfair_favorite_push_random,gender,10,102,,2.0,546,f,m,0.1184326710816777,0.1776126528609972,0.1584095172049247,0.1222734254992319,0.1793431351035037,0.1607193092609093,0.1086274509803921,0.1731948334889511,0.1525127539561167,,,,,,,0.8883978717114985,0.9657176640131538,0.9489385852730972,,,,,
rk_b8433208b2e0ed8c07d8,ml-100k,nmf,cfair_favorite_push_random,gender,10,102,,3.0,819,f,m,0.1171081677704194,0.1765216020182907,0.1582899296464442,0.1216589861751152,0.1768329554043839,0.1608203172132017,0.1054901960784313,0.1757267351384998,0.1518299990348396,,,,,,,0.8670974450386215,0.9937442641087212,0.944097124454471,,,,,
rk_c9838a63b411b44565e0,ml-100k,ease-i,cfair_favorite_push_random,age,10,102,,0.1,67,y,o,0.13719646799117,0.2125797154770664,0.1925457948597096,,,,,,,,,,,,,,,,,,,,
rk_bf33d20c6841b597e589,ml-100k,ease-i,cfair_favorite_push_random,age,10,102,,0.25,168,y,o,0.136644591611479,0.2117641648270787,0.1919529315553163,,,,,,,,,,,,,,,,,,,,
