dataset,model,model_kind,attack_id,attack,c_fairness,p_value,significant_p_0_05,p_value_bh_all,significant_bh_all,included_in_table
ml-100k,mf-value-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.9313994735689636,0.0050398631762112,True,0.11699682373347428,False,True
ml-100k,mf-value-gender,fair,cfair_sampling_push_random,Sampling,0.9892512121415734,0.1019235488048142,False,0.42468145335339247,False,True
ml-100k,mf-value-gender,fair,cfair_influencer_top1_push_random,Top-1,0.9304703541479302,0.0333141148882798,True,0.2849233510181825,False,True
ml-100k,mf-value-gender,fair,cfair_influencer_top5_push_random,Top-5,0.9235179561449224,0.2241851691359103,False,0.6227365809330841,False,True
ml-100k,mf-value-gender,fair,cfair_influencer_top10_push_random,Top-10,0.9563426716996972,0.0753905076434077,False,0.3951921771630242,False,True
ml-100k,neumf,base,cfair_influencer_push_random,C-Fair Influencer,0.8769366838690673,0.5146434424670913,False,0.8072215909406869,False,False
ml-100k,neumf,base,cfair_sampling_push_random,Sampling,0.9661243635014326,0.6996479854714679,False,0.9148276168137657,False,False
ml-100k,neumf,base,cfair_influencer_top1_push_random,Top-1,1.0020698591099662,0.8652837243204794,False,0.9627240130839279,False,False
ml-100k,neumf,base,cfair_influencer_top5_push_random,Top-5,0.8140302389794529,0.1167939210121913,False,0.4573255943248455,False,False
ml-100k,neumf,base,cfair_influencer_top10_push_random,Top-10,0.8109526414815608,0.1195276669004695,False,0.4605645771310656,False,False
ml-100k,nmf,base,cfair_influencer_push_random,C-Fair Influencer,0.8307003987308502,0.4315829668278127,False,0.8014811799214844,False,False
ml-100k,nmf,base,cfair_sampling_push_random,Sampling,0.8644399236804858,0.2629292416498354,False,0.6675937776265352,False,False
ml-100k,nmf,base,cfair_influencer_top1_push_random,Top-1,0.8588302637781747,0.1859223384196493,False,0.5866481552076313,False,False
ml-100k,nmf,base,cfair_influencer_top5_push_random,Top-5,0.883964487252876,0.76814813163592,False,0.9534693722359593,False,False
ml-100k,nmf,base,cfair_influencer_top10_push_random,Top-10,0.873062465155404,0.6326172490354861,False,0.8748961954746085,False,False
ml-100k,slim-i,base,cfair_influencer_push_random,C-Fair Influencer,0.9549073586059234,0.2787301064622441,False,0.6811074030092431,False,False
ml-100k,slim-i,base,cfair_sampling_push_random,Sampling,0.9556996613967668,0.5700336987046102,False,0.8436861484766094,False,False
ml-100k,slim-i,base,cfair_influencer_top1_push_random,Top-1,0.956238520170852,0.6516465365417807,False,0.8832634150390458,False,False
ml-100k,slim-i,base,cfair_influencer_top5_push_random,Top-5,0.9663395698322604,0.8211692313757347,False,0.9627240130839279,False,False
ml-100k,slim-i,base,cfair_influencer_top10_push_random,Top-10,0.9693848725982438,0.5758316878530674,False,0.8436861484766094,False,False
ml-100k,slim-u,base,cfair_influencer_push_random,C-Fair Influencer,0.9343295684788704,0.2551389105054433,False,0.6633611673141526,False,False
ml-100k,slim-u,base,cfair_sampling_push_random,Sampling,0.9578938624006956,0.2296006371335056,False,0.6323746361727909,False,False
ml-100k,slim-u,base,cfair_influencer_top1_push_random,Top-1,0.9625883006982002,0.6196631580731211,False,0.8748961954746085,False,False
ml-100k,slim-u,base,cfair_influencer_top5_push_random,Top-5,0.924442800857215,0.0740072930954827,False,0.3943011517382275,False,False
ml-100k,slim-u,base,cfair_influencer_top10_push_random,Top-10,0.9153917430599242,0.0625584251714393,False,0.36306228894138876,False,False
ml-100k,svd,base,cfair_influencer_push_random,C-Fair Influencer,0.845589011485918,0.3697044082256606,False,0.7802203420346734,False,False
ml-100k,svd,base,cfair_sampling_push_random,Sampling,0.8433713908479142,0.5301970719152578,False,0.8166542576893782,False,False
ml-100k,svd,base,cfair_influencer_top1_push_random,Top-1,0.8610421575302823,0.5848728311366826,False,0.8436861484766094,False,False
ml-100k,svd,base,cfair_influencer_top5_push_random,Top-5,0.8446532092995602,0.2932524272738253,False,0.6906307164057479,False,False
ml-100k,svd,base,cfair_influencer_top10_push_random,Top-10,0.834506146481946,0.0569587063598574,False,0.34419957093198267,False,False
ml-1m,bnslim-u-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.8711832833945392,0.4530166948599035,False,0.8014811799214844,False,False
ml-1m,bnslim-u-gender,fair,cfair_sampling_push_random,Sampling,0.8782138420441846,0.3106622802372986,False,0.716065539554057,False,False
ml-1m,bnslim-u-gender,fair,cfair_influencer_top1_push_random,Top-1,0.8792163096260698,0.8629255907132986,False,0.9627240130839279,False,False
ml-1m,bnslim-u-gender,fair,cfair_influencer_top5_push_random,Top-5,0.8723466496743922,0.65699924311921,False,0.8859948299325445,False,False
ml-1m,bnslim-u-gender,fair,cfair_influencer_top10_push_random,Top-10,0.8718540452779578,0.836539091773544,False,0.9627240130839279,False,False
ml-1m,ease-i,base,cfair_influencer_push_random,C-Fair Influencer,0.8982739139350704,0.6376079632336827,False,0.8780618137751987,False,False
ml-1m,ease-i,base,cfair_sampling_push_random,Sampling,0.8994881445471586,0.7143264327470193,False,0.9185409963335497,False,False
ml-1m,ease-i,base,cfair_influencer_top1_push_random,Top-1,0.908755350678709,0.9098488386832676,False,0.9771100975776238,False,False
ml-1m,ease-i,base,cfair_influencer_top5_push_random,Top-5,0.8946286266480449,0.5011932563397169,False,0.8014811799214844,False,False
ml-1m,ease-i,base,cfair_influencer_top10_push_random,Top-10,0.8994224460338542,0.8192476308418768,False,0.9627240130839279,False,False
ml-1m,ease-u,base,cfair_influencer_push_random,C-Fair Influencer,0.8940293114726422,0.0203663788557821,True,0.2206357709376394,False,True
ml-1m,ease-u,base,cfair_sampling_push_random,Sampling,0.9090337692833445,0.8680064787712467,False,0.9627240130839279,False,True
ml-1m,ease-u,base,cfair_influencer_top1_push_random,Top-1,0.9061081971069994,0.2617400436271517,False,0.6675937776265352,False,True
