key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_93e20e9ee5af00578d42,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_21dbd489d4b77af7b41f,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_5e3db6d36db4c42b279e,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_c4c04d87feb5ac78e66b,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_0bf4cffa30e313c3fe56,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_c6faf015f69c9911aa05,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_c2a8c70a956385f26030,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_f7c787f20c6732a0e638,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_bc7eed818375ba9a2d9d,ml-100k,mf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_05dc47868056341e0d72,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_d8668747cfbde86cb719,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_952cd22e1e3014c62fbe,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_a248baa9f9bc3bab6a5e,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_453cdb2bc2ffca7f94af,ml-100k,nmf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_a4fd754aa0290d3addde,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,69,,0.1,67
rk_6016923e9ea2e4be3f56,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,69,,0.25,168
rk_74b9062485eca5936185,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,69,,0.5,336
rk_fe033e41a11df5c6e18f,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,69,,0.75,503
rk_e2ae3a9611cd8000d9fe,ml-100k,neumf,cfair_reverse_favorite_nuke_favorite,age,y,o,10,69,,1.0,671
rk_cebe6f84cc4208abc33a,ml-100k,bnslim-u-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_f99a5e589520e9d319e2,ml-100k,bnslim-u-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_5ae147d67601d41d1036,ml-100k,bnslim-u-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_105589a963af27fe6b77,ml-100k,bnslim-u-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_a09d21500dbf078082ca,ml-100k,bnslim-u-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_4368d059921117f672b4,ml-100k,mf-value-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_0eb5a103f41d5c3e0d5e,ml-100k,mf-value-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_58fd19af7a7d197acef4,ml-100k,mf-value-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_2e366792cc7f4e7c20bc,ml-100k,mf-value-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_a7129a1dd529999b13cd,ml-100k,mf-value-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_a84a065a90b810f1a220,ml-100k,mf-absolute-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_1f83d656803ec0b89fea,ml-100k,mf-absolute-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_7a458ffa8b2b9af0e3d1,ml-100k,mf-absolute-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_dea518307d3cbf629c8b,ml-100k,mf-absolute-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_6b439862c15544836d5c,ml-100k,mf-absolute-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_f3cd80d2cccfd9b71974,ml-100k,mf-under-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_8b60d0f2025e7acc3844,ml-100k,mf-under-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_93d2a38ac5d285c2958d,ml-100k,mf-under-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_dd458fc05eb9b9d2a357,ml-100k,mf-under-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_a2a9fd2d99bf7b57dfea,ml-100k,mf-under-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_8b3ac54b00f543adb8aa,ml-100k,mf-over-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_f23677c9d0896ad7477a,ml-100k,mf-over-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_b58032978b68e73d6a66,ml-100k,mf-over-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_4c83934e32d7eb9552de,ml-100k,mf-over-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_3785b6d907101fbbd499,ml-100k,mf-over-age,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
